S.No.,User,Rating,Review_summary,Customer_info,Date,Upvote,Downvote,Review_detail
2525,Ajay Kumar,5,Super!,"Certified Buyer, Noida",Ajay Kumar,0,0,Lovely..
2526,Syed  Basheer,5,Just wow!,"Certified Buyer, Anantapur District",Syed  Basheer,0,0,Excellent packaging and early delivery. Tq flipkart for the quick delivery and safe packaging loved the iphone 14.
2527,Flipkart Customer,5,Great product,"Certified Buyer, Bangalore",Flipkart Customer,0,0,"Amazing product, excellent delivery and exchange offered by Flipkart."
2528,pankaj kumar,5,Terrific purchase,"Certified Buyer, New Delhi",pankaj kumar,0,0,Good
2529,pankaj kumar,5,Worth every penny,"Certified Buyer, New Delhi",pankaj kumar,0,0,Good
2530,Shubham Roy Karmakar,5,Super!,"Certified Buyer, Nebadhai Duttapukur",Shubham Roy Karmakar,0,0,Superb. Also Superfast Delivery by Flipkart.
2531,Flipkart Customer,5,Highly recommended,"Certified Buyer, Mumbai",Flipkart Customer,0,0,Very good and compact phone. Photos are awesome. Sound clarity excellent.
2532,Teginder  Singh,5,Brilliant,"Certified Buyer, Sirhind Fatehgarh Sahib",Teginder  Singh,0,0,Proper Proformance Package 👍
2533,JIGAR  SIDHPURA ,5,Fabulous!,"Certified Buyer, Vapi",JIGAR  SIDHPURA ,0,0,Flipkart has delivered Original Genuine IPhone
2534,Flipkart Customer,5,Awesome,"Certified Buyer, Bengaluru",Flipkart Customer,0,0,Nice
2535,Flipkart Customer,5,Super!,"Certified Buyer, Sullurupeta",Flipkart Customer,0,0,Nice product
2536,Anoop Kumar  Yadav,1,Very poor,"Certified Buyer, Gonda District",Anoop Kumar  Yadav,0,0,Heating issue
2537,Pankaj Thakur,5,Highly recommended,"Certified Buyer, Gurdaspur",Pankaj Thakur,0,0,Best Camera and performance.
2538,Dr Suhail Sanaulla,4,Really Nice,"Certified Buyer, Thiruvananthapuram",Dr Suhail Sanaulla,0,0,"Good , best deal from Flipkart"
2539,shiva nc,5,Excellent,"Certified Buyer, Bangalore Urban",shiva nc,0,0,Supar
2540,Roshan Goswami,5,Excellent,"Certified Buyer, Vadodara",Roshan Goswami,0,0,Camera and overall experience of iphone is good
2541,Flipkart Customer,5,Excellent,"Certified Buyer, Jalgaon",Flipkart Customer,0,0,Owsnmm camera 🫶🏻
2542,Gireesh Pappu,5,Brilliant,"Certified Buyer, Chennai",Gireesh Pappu,0,0,Fantastic
2543,Masood Khan,5,Perfect product!,"Certified Buyer, Hyderabad",Masood Khan,0,0,Best deal ever
2544,Pruthviraj  Bs,4,Wonderful,"Certified Buyer, Bangalore",Pruthviraj  Bs,0,0,Good one
2545,Pankaj Kesharwani,5,Classy product,"Certified Buyer, Saraon",Pankaj Kesharwani,0,0,Amazing phone....
2546,Amit Sharma,5,Wonderful,"Certified Buyer, Sahibganj",Amit Sharma,0,0,Value for money 💗👍
2547,Mohit Singla,5,Excellent,"Certified Buyer, Bathinda",Mohit Singla,0,0,Nice device
2548,Hemareddy Meti,4,Value-for-money,"Certified Buyer, Bengaluru",Hemareddy Meti,0,0,Thanks Flipkart getting  good quality mobile
2549,Rohit swami,4,Pretty good,"Certified Buyer, Behror",Rohit swami,0,0,wownice mobile.... best camera...good performance👌
2550,Ravi Arkel,5,Terrific purchase,"Certified Buyer, Ahmedabad",Ravi Arkel,0,0,Super
2551,Gurjant  Singh ,5,Super!,"Certified Buyer, Barnala",Gurjant  Singh ,0,0,Good
2552,Aman Siddiqui,5,Classy product,"Certified Buyer, Sirauli",Aman Siddiqui,0,0,Nice. Phone
2553,Pushkar Singh Bisht,4,Good choice,"Certified Buyer, New Delhi",Pushkar Singh Bisht,0,0,Amazing purchase works perfectly and battery backup is also good.
2554,vikash sharma,5,Brilliant,"Certified Buyer, Bulandshahr",vikash sharma,0,0,I love this i phone 14 Outstanding Performance Great Battery Good Cameras Love it 😍
2555,AMIT KUMAR,5,Must buy!,"Certified Buyer, Purba Champaran District",AMIT KUMAR,0,0,Nothing to say osm
2556,Nikhil Kumar,5,Classy product,"Certified Buyer, Dhanbad",Nikhil Kumar,0,0,Worth the spend.
2557,Karttik Chandra Nayak,5,Super!,"Certified Buyer, Baleshwar",Karttik Chandra Nayak,0,0,good one
2558,raman  malhotra,4,Nice product,"Certified Buyer, Panipat",raman  malhotra,0,0,DISPLAY IS VERY SMOOTH
2559,Barinder Singh,5,Mind-blowing purchase,"Certified Buyer, Ahmedgarh",Barinder Singh,0,0,Very good
2560,ISAI GABRIAL,5,Wonderful,"Certified Buyer, Alok City",ISAI GABRIAL,0,0,Good
2561,Geetha Theju,5,Excellent,"Certified Buyer, Chennai",Geetha Theju,0,0,Super
2562,Manohar Nagar,5,Just wow!,"Certified Buyer, Bhopal Division",Manohar Nagar,0,0,Really too good phone..best price by Flipkart
2563,Ajay kumar Sangotra,5,Must buy!,"Certified Buyer, Jammu",Ajay kumar Sangotra,0,0,Nyc product thaks Flipkart
2564,shashi keerthan,5,Terrific,"Certified Buyer, Hyderabad",shashi keerthan,0,0,Loved it
2565,Abhishek Pratap Singh,5,Does the job,"Certified Buyer, Kanpur",Abhishek Pratap Singh,0,0,Apple gives best iPhone in this series best performance great camera good battery backup smoothly on using..i love my iPhone 14🇮🇳😘
2566,Sekh Badsha,5,Just wow!,"Certified Buyer, Mahiari",Sekh Badsha,0,0,Great Camera Quality Good Bettery Backup
2567,Nilesh Shantaram sawant,5,Mind-blowing purchase,"Certified Buyer, Mumbai",Nilesh Shantaram sawant,0,0,Excellent
2568,Asma Abdul,5,Terrific,"Certified Buyer, Hangal",Asma Abdul,0,0,Good 👍😊
2569,Pankaj Singh,5,Worth every penny,"Certified Buyer, Mathura",Pankaj Singh,0,0,Nice photograph
2570,Pritam Wani,5,Great product,"Certified Buyer, Pimpri Chinchwad",Pritam Wani,0,0,Nice phone but apple needs improvement on design. All iPhone looks same 🤣🤣🤣
2571,Gulrez rana,5,Excellent,"Certified Buyer, Pune",Gulrez rana,0,0,Good experience
2572,Salman Khan,5,Classy product,"Certified Buyer, Rampur",Salman Khan,0,0,Good work
2573,navneet singh,4,Good quality product,"Certified Buyer, Prayagraj",navneet singh,0,0,Good product
2574,Aswin Babu,3,Nice,"Certified Buyer, Bengaluru",Aswin Babu,0,0,"With in 1 month battery became 99 from 100, i have another phone without using it regularly then also it loses battery capacity"
2575,Flipkart Customer,3,Decent product,"Certified Buyer, Ramkola",Flipkart Customer,0,0,Battery sucksss literally btw others thinks are well fitted
2576,INDRAJIT Singha,5,Terrific purchase,"Certified Buyer, Shyamdhan",INDRAJIT Singha,0,0,Good product
2577,Flipkart Customer,5,Great product,"Certified Buyer, Villupuram",Flipkart Customer,0,0,Worth to purchase from flipcart
2578,Skoliur Rahaman,5,Highly recommended,"Certified Buyer, Bengaluru",Skoliur Rahaman,0,0,All is very good 😊
2579,Sapna,5,Wonderful,"Certified Buyer, Malaut",Sapna,0,0,Good product
2580,ajay yadav,4,Good choice,"Certified Buyer, Varanasi",ajay yadav,0,0,Excellent
2581,kevin salaman,4,Nice product,"Certified Buyer, Chennai",kevin salaman,0,0,Everything perfect except battery if you would like to buy an iPhone for gaming watching videos better go for 14 plus.
2582,Raj Pankaj,4,Very Good,"Certified Buyer, Sasaram",Raj Pankaj,0,0,Best deal
2583,Aneesh Kumar ,5,Awesome,"Certified Buyer, Kozhikode",Aneesh Kumar ,0,0,Very good
2584,Muniyandi V,5,Excellent,"Certified Buyer, Palani",Muniyandi V,0,0,Worth for money
2585,Santosh  Yadav ,5,Must buy!,"Certified Buyer, New Delhi",Santosh  Yadav ,0,0,Good
2586,Rahul Sharma,5,Best in the market!,"Certified Buyer, Delhi",Rahul Sharma,0,0,Best
2587,Flipkart Customer,5,Just wow!,"Certified Buyer, Hisar",Flipkart Customer,0,0,Good
2588,Flipkart Customer,5,Terrific,"Certified Buyer, Hisar",Flipkart Customer,0,0,Good
2589,kARMJIT  bopa rai,5,Must buy!,"Certified Buyer, Ludhiana District",kARMJIT  bopa rai,0,0,Nice phone
2590,Jamal SkJamal,5,Super!,"Certified Buyer, Srikalahasti",Jamal SkJamal,0,0,Best mobile iPhone 14
2591,Flipkart Customer,5,Just wow!,"Certified Buyer, Faizabad",Flipkart Customer,0,0,Awesome superb.
2592,Rajesh Jadhav,5,Must buy!,"Certified Buyer, Lonavla",Rajesh Jadhav,0,0,Overall product is Good.
2593,Mohit Nager,5,Classy product,"Certified Buyer, North West Delhi",Mohit Nager,0,0,Overall best in the price range of 52k. Best camera 🤩Full base speaker 🫨Awesome display 😎Battery backup is nice 🫡Design and in hand feeling is awesome😍 Overall a beast 💪🏻
2594,Flipkart Customer,5,Just wow!,"Certified Buyer, Khammam",Flipkart Customer,0,0,Phone get heats when Face time uses
2595,Rahaman,5,Perfect product!,"Certified Buyer, Jangipur",Rahaman,0,0,Nice on
2596,Arpan Saha,5,Wonderful,"Certified Buyer, Kolkata",Arpan Saha,0,0,Nothing to say! Loved it very much
2597,Manish  Kumar ,5,Fabulous!,"Certified Buyer, Purnia",Manish  Kumar ,0,0,good working
2598,Prasanjit Deb,5,Excellent,"Certified Buyer, Dimapur",Prasanjit Deb,0,0,Exalent product
2599,Ankur Upadhyay,5,Great product,"Certified Buyer, Bhopal",Ankur Upadhyay,0,0,NYC 🤌❣️
2600,Flipkart Customer,5,Super!,"Certified Buyer, Bengaluru",Flipkart Customer,0,0,Good product ☺️☺️☺️
2601,sachin Tiwari,4,Nice product,"Certified Buyer, Bangalore Urban",sachin Tiwari,0,0,All good except battery
2602,AJITH KUMAR,5,Great product,"Certified Buyer, Thalassery",AJITH KUMAR,0,0,Overall ok
2603,Bhupendra Singh,5,Terrific purchase,"Certified Buyer, Noida",Bhupendra Singh,0,0,Satisfied
2604,good guy gaming,5,Great product,"Certified Buyer, Kheda District",good guy gaming,0,0,Everything is good but batteris a major issue for this high performance device.
2605,Ganesan Ganesan,5,Brilliant,"Certified Buyer, Tiruppur",Ganesan Ganesan,0,0,All specialist good
2606,Kishan  Randeriya,5,Great product,"Certified Buyer, Surat",Kishan  Randeriya,0,0,Best mobile.
2607,Flipkart Customer,5,Super!,"Certified Buyer, Siwan District",Flipkart Customer,0,0,Good phone
2608,Sunil Sunil,5,Mind-blowing purchase,"Certified Buyer, Thiruvallur District",Sunil Sunil,0,0,Normal use good but games is 5hr
2609,RAHBAR AKRAM,5,Great product,"Certified Buyer, Meerut",RAHBAR AKRAM,0,0,Very nice
2610,Flipkart Customer,5,Highly recommended,"Certified Buyer, Zirakpur",Flipkart Customer,0,0,Good product
2611,Lalit Jain,1,Utterly Disappointed,"Certified Buyer, Morena",Lalit Jain,0,0,1. Battery performance - bad (discharge quickly)2. Camera quality front - bad( pixels blurr )3. Dual sim- (you can only use one sim and one esim) esim can be used only from Jio4. Memory card can not be used.5. Heat problem.
2612,Md Tahsin  Raza,4,Wonderful,"Certified Buyer, Hazaribagh",Md Tahsin  Raza,0,0,Worth it 🤍
2613,Qari Arshed,5,Wonderful,"Certified Buyer, Roorkee",Qari Arshed,0,0,Very good 👍 👏 👌
2614,Abhinav Tikkha,5,Highly recommended,"Certified Buyer, Meerut",Abhinav Tikkha,0,0,Good
2615,MOHD SHARIF,5,Just wow!,"Certified Buyer, Udham Singh Nagar",MOHD SHARIF,0,0,Very good product
2616,Uday Odedra,5,Simply awesome,"Certified Buyer, Jamnagar",Uday Odedra,0,0,Super
2617,Flipkart Customer,1,Horrible,"Certified Buyer, Jalandhar",Flipkart Customer,0,0,Network problems network lost daily many times
2618,Subrat Rana,5,Best in the market!,"Certified Buyer, Nashik",Subrat Rana,0,0,good but the delivery egency's management  was very wrost
2619,Suraj Gupta,5,Good quality product,"Certified Buyer, New Delhi",Suraj Gupta,0,0,So very nice am so happy 😊👍
2620,Mohamed Imran,4,Pretty good,"Certified Buyer, Chennai",Mohamed Imran,0,0,Better to stick with iPhone 13
2621,Kirpal  Singh,4,Delightful,"Certified Buyer, Kangra District",Kirpal  Singh,0,0,product is latest and easy to handle . Storage capacity as well as browsing speed is good.Sugession: Charger should be part of the product as the same is not available in the market and customer feel helpless without that.
2622,Bijoy  Sivasankaran ,5,Excellent,"Certified Buyer, Thrissur",Bijoy  Sivasankaran ,0,0,Excellent
2623,Flipkart Customer,5,Perfect product!,"Certified Buyer, Gwalior",Flipkart Customer,0,0,All is good
2624,Mukesh Thory  Barmer ,5,Super!,"Certified Buyer, Jodhpur",Mukesh Thory  Barmer ,0,0,Best product 14 mobile
2625,Roji Singh,5,Great product,"Certified Buyer, Faridkot",Roji Singh,0,0,Nice but camera can be with more photo mode
2626,Ravinder Singh,5,Fabulous!,"Certified Buyer, New Delhi",Ravinder Singh,0,0,Best price
2627,Anup Rauniyar,5,Best in the market!,"Certified Buyer, Kuraich",Anup Rauniyar,0,0,Very nice
2628,Avtar Singh,4,Good choice,"Certified Buyer, Lumding",Avtar Singh,0,0,Apple
2629,Umesh prasad,5,Worth every penny,"Certified Buyer, Bengaluru",Umesh prasad,0,0,Excellent
2630,Sanjay Mourya,5,Mind-blowing purchase,"Certified Buyer, Hyderabad",Sanjay Mourya,0,0,Perfect ios Excellent cameraGood battery backup Perfect Size and display
2631,Flipkart Customer,1,Unsatisfactory,"Certified Buyer, Patna",Flipkart Customer,0,0,I hate this  product because with in 1 month phone is dead
2632,Raji Raji,5,Excellent,"Certified Buyer, Chengalpattu",Raji Raji,0,0,This phone awesome but iPhone seal not
2633,Vikas Saggi,5,Perfect product!,"Certified Buyer, Karnal",Vikas Saggi,0,0,Thanks
2634,Nishant Khanna,5,Just wow!,"Certified Buyer, New Delhi",Nishant Khanna,0,0,Best quality and value for money
2635,Kanika Anand,5,Mind-blowing purchase,"Certified Buyer, Yamunanagar",Kanika Anand,0,0,Nice phone
2636,Mohammad Asif Khan ,5,Awesome,"Certified Buyer, Gorakhpur",Mohammad Asif Khan ,0,0,I phone 14 Best (Handy phone)
2637,Muskan Zalori,5,Best in the market!,"Certified Buyer, Sidhpur",Muskan Zalori,0,0,Very good osm
2638,surya chandran,5,Just wow!,"Certified Buyer, Bengaluru",surya chandran,0,0,"Awesome product, Worthy mobile....."
2639,Flipkart Customer,5,Perfect product!,"Certified Buyer, Howrah",Flipkart Customer,0,0,Osm phone
2640,Mancy Williams,5,Highly recommended,"Certified Buyer, Chennai",Mancy Williams,0,0,"Damn good 😍😍😍 authentic product, on time service, securely packed. This is my first iphone and I just loveee it and I got it on big billion sale ..."
2641,Hari Charan,5,Brilliant,"Certified Buyer, Chittoor",Hari Charan,0,0,Ok
2642,Rahul Diwakar,5,Excellent,"Certified Buyer, Moradabad",Rahul Diwakar,0,0,My first picture maaa  with I phone 14 thanks I phone
2643,Flipkart Customer,5,Super!,"Certified Buyer, Ahmedabad",Flipkart Customer,0,0,I am happy for product
2644,Santanu  PAITANDY ,4,Value-for-money,"Certified Buyer, Bardhaman",Santanu  PAITANDY ,0,0,Nice
2645,Flipkart Customer,5,Mind-blowing purchase,"Certified Buyer, Chennai",Flipkart Customer,0,0,Good
2646,Flipkart Customer,5,Brilliant,"Certified Buyer, Chennai",Flipkart Customer,0,0,Worth to buy very good design and features.Open box delivery is very good.
2647,Purna Basumatary  Goyary,5,Must buy!,"Certified Buyer, Azara",Purna Basumatary  Goyary,0,0,Nice it's really good
2648,Satheesh Kumar,5,Just wow!,"Certified Buyer, Chennai",Satheesh Kumar,0,0,Best iPhone experience 😎
2649,Md Shahid Ansari,5,Excellent,"Certified Buyer, New Delhi",Md Shahid Ansari,0,0,IOS is best
2650,Damanpreet Singh,5,Terrific,"Certified Buyer, Hisar",Damanpreet Singh,0,0,Best ever phone
2651,Kavita Goyal,5,Great product,"Certified Buyer, Karnal",Kavita Goyal,0,0,Fabulous
2652,Ramesh Kasinathan,4,Pretty good,"Certified Buyer, Viluppuram",Ramesh Kasinathan,0,0,Nice mobile
2653,Abhinav Sawarkar,4,Worth the money,"Certified Buyer, Nagpur",Abhinav Sawarkar,0,0,This review after using 2 weeks.1. Camera 5/52. Display 4/53. Performance 5/5Compare to Samsung s22 display i fill that i phone 14 display brightness is not upto the mark.
2654,Shameer TP,3,Fair,"Certified Buyer, Thrissur District",Shameer TP,0,0,I bought phone on big billions days When I using internet my battery gets heating.when travelling battery gets heating when put phone on jeans pocket
2655,Abhishek,5,Excellent,"Certified Buyer, Kozhikode",Abhishek,0,0,Good
2656,Nabeel Ahmad,5,Perfect product!,"Certified Buyer, Srinagar",Nabeel Ahmad,0,0,Good in every mean CameraPerformanceBatteryPremiumness
2657,Siddharth Gohel,5,Best in the market!,"Certified Buyer, Mangrol",Siddharth Gohel,0,0,Awesome 🤩
2658,Siddharth Gohel,5,Great product,"Certified Buyer, Mangrol",Siddharth Gohel,0,0,Awesome product ✌️
2659,Flipkart Customer,5,Best in the market!,"Certified Buyer, Jind",Flipkart Customer,0,0,Good
2660,MOHAMMAD KHALED,5,Fabulous!,"Certified Buyer, Mahbubnagar",MOHAMMAD KHALED,0,0,Excellent performance and music lovers will enjoy Dolby atmos sound.
2661,JANGITAYA  Srinivas,4,Delightful,"Certified Buyer, Hyderabad",JANGITAYA  Srinivas,0,0,VERY GOOD
2662,Aseem Khan,5,Must buy!,"Certified Buyer, Ramgarh Alwar District",Aseem Khan,0,0,Nice 👍📷📷
2663,Prakash  Singha,5,Terrific purchase,"Certified Buyer, Gandhinagar District",Prakash  Singha,0,0,Best of phone
2664,Vedansh Kumar Yadav,4,Nice product,"Certified Buyer, Chamoli District",Vedansh Kumar Yadav,0,1,Awesome
2665,Ashwini Yadav,5,Terrific purchase,"Certified Buyer, Kolar District",Ashwini Yadav,0,0,VERY NICE PRODUCT
2666,Unfollow_mannu ??,5,Awesome,"Certified Buyer, Sikar",Unfollow_mannu ??,0,0,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go."
2667,Milon jyoti behera,5,Terrific purchase,"Certified Buyer, Moranhat",Milon jyoti behera,0,0,Excelennt go for it
2668,Jayant  Choudhary ,1,Utterly Disappointed,"Certified Buyer, Udaipur District",Jayant  Choudhary ,0,0,Very heat taken
2669,FIROJ ALI,5,Terrific,"Certified Buyer, Bazpur",FIROJ ALI,0,0,Nice phone.
2670,Sahil  Malik,4,Very Good,"Certified Buyer, Agra",Sahil  Malik,0,0,Nice product🥰
2671,Flipkart Customer,3,Decent product,"Certified Buyer, Noida",Flipkart Customer,0,0,Bad
2672,Flipkart Customer,5,Best in the market!,"Certified Buyer, Purnia",Flipkart Customer,0,0,Camera is mind blowing and you already know the iphone looks 👌🫡
2673,Kratika Wath,5,Mind-blowing purchase,"Certified Buyer, Indore",Kratika Wath,0,0,Outstanding
2674,Bhairab Gayen,4,Worth the money,"Certified Buyer, Kolkata",Bhairab Gayen,0,0,Satisfied with my purchase.
2675,Shubham Bhor,4,Wonderful,"Certified Buyer, Indore",Shubham Bhor,0,0,All good.
2676,Dhanwanth  Kalesh,5,Mind-blowing purchase,"Certified Buyer, Kalamassery",Dhanwanth  Kalesh,0,0,Good performance
2677,KAMAL JANGID,5,Must buy!,"Certified Buyer, Gurugram",KAMAL JANGID,0,0,EXCELLENT
2678,Flipkart Customer,5,Classy product,"Certified Buyer, New Delhi",Flipkart Customer,0,0,Good
2679,Gangisetty Krishna Murthy ,5,Excellent,"Certified Buyer, Macherla",Gangisetty Krishna Murthy ,0,0,Phone is good and performance is nice
2680,Ashutosh Gupta,5,Classy product,"Certified Buyer, Vidisha",Ashutosh Gupta,0,0,iPhone is iPhone
2681,DeprecatedParam,5,Fabulous!,"Certified Buyer, Jaipur",DeprecatedParam,0,0,Best phone✨✨..
2682,Saurabh  yadav ,5,Super!,"Certified Buyer, Bijnor",Saurabh  yadav ,0,0,It's good 👍
2683,Saeem Wagle,4,Good choice,"Certified Buyer, Thane",Saeem Wagle,0,0,Good Product below 50k
2684,Arvind Kumar,5,Worth every penny,"Certified Buyer, Bengaluru",Arvind Kumar,0,0,Good phone but take when you have excess money
2685,Flipkart Customer,5,Simply awesome,"Certified Buyer, Rajahmundry",Flipkart Customer,0,0,I am very happy
2686,Shubham Gondavale,5,Wonderful,"Certified Buyer, Gurugram",Shubham Gondavale,0,0,The best product in the best price.. Love It
2687,NAGEEN  SANGWAL ,5,Just wow!,"Certified Buyer, Abohar",NAGEEN  SANGWAL ,0,0,iPhone 14 very good 👍👍👍👍
2688,Swati Akash Shrivastav,5,Worth every penny,"Certified Buyer, Jaipur",Swati Akash Shrivastav,0,0,This is the my second iphone 14 which one purchased from flipkart . Its totally wow
2689,Amrit Roy,5,Good choice,"Certified Buyer, Mainaguri",Amrit Roy,0,0,Night mode is best
2690,Navonil Talukdar,5,Awesome,"Certified Buyer, Haora District",Navonil Talukdar,0,0,"Night mode is just, So beautiful so elegant just looking like a wow 😳😂"
2691,Surender,5,Fabulous!,"Certified Buyer, Jaipur Division",Surender,0,0,Osm
2692,Mishra G,5,Just wow!,"Certified Buyer, Patna",Mishra G,0,0,Superb phone always awesome
2693,Krishna Mahto,5,Best in the market!,"Certified Buyer, Ramgarh District",Krishna Mahto,0,0,Amazing product 😄
2694,Sunita Sangwan,4,Nice product,"Certified Buyer, Bhiwani",Sunita Sangwan,0,0,Good
2695,Nikhil  sg,3,Fair,"Certified Buyer, Kollam",Nikhil  sg,0,0,Nice 👍🙂
2696,Mannu  Kr,5,Worth every penny,"Certified Buyer, English Bazar",Mannu  Kr,0,0,Good 👍
2697,DeprecatedParam,5,Best in the market!,"Certified Buyer, Kishangarh Alwar District",DeprecatedParam,0,0,Good
2698,AHTESHAM AKHTAR,5,Just wow!,"Certified Buyer, Kolkata",AHTESHAM AKHTAR,0,0,Good
2699,Shailendra Dwivedi,1,Horrible,"Certified Buyer, Gwalior",Shailendra Dwivedi,0,0,"Charging speed is very much slow, not acceptable at that price"
2700,Akashdeep Singh,5,Perfect product!,"Certified Buyer, Ludhiana",Akashdeep Singh,0,0,Wow
2701,Lavish Rana,5,Perfect product!,"Certified Buyer, Bangalore",Lavish Rana,0,1,Iphone 14 is superb. Battery backup is excellent. Camera is god level and beat every android phone. Phone look is so great with diagonal camera. After buying this I feel so confident ❤️😜
2702,Raj Kumar,4,Worth the money,"Certified Buyer, Hyderabad",Raj Kumar,0,0,Super working
2703,Sintu Raghuvanshi,4,Really Nice,"Certified Buyer, Varanasi",Sintu Raghuvanshi,0,0,Just go for it 😄
2704,Sukanta Roy,3,Nice,"Certified Buyer, Agartala",Sukanta Roy,0,0,Nice camera🥰
2705,Sanjeev Sharma ,5,Classy product,"Certified Buyer, Chandigarh",Sanjeev Sharma ,0,0,Best Camera 📸 Nice Performance...
2706,Jayesh Joshi,5,Perfect product!,"Certified Buyer, Pune",Jayesh Joshi,0,0,Great phone and smooth and safe delivery from flipkart.
2707,Flipkart Customer,5,Perfect product!,"Certified Buyer, Pimpri Chinchwad",Flipkart Customer,0,0,Good product
2708,Sandeep kamboj Kamboj ,5,Terrific purchase,"Certified Buyer, Yamunanagar",Sandeep kamboj Kamboj ,0,0,Nice very good phone
2709,Harpreet Singh,5,Terrific,"Certified Buyer, Ludhiana",Harpreet Singh,0,0,v v good
2710,Vivek Kumar,1,Waste of money!,"Certified Buyer, Sitapur",Vivek Kumar,0,0,Worst
2711,Linus Limbu,5,Mind-blowing purchase,"Certified Buyer, Lanka",Linus Limbu,0,0,Awesome
2712,Amit Upadhyay,5,Simply awesome,"Certified Buyer, New Delhi",Amit Upadhyay,0,0,Go
2713,Flipkart Customer,5,Mind-blowing purchase,"Certified Buyer, Andipalayam",Flipkart Customer,0,0,Great
2714,DeprecatedParam,5,Highly recommended,"Certified Buyer, Muzaffarpur District",DeprecatedParam,0,0,Excellent
2715,Tanveer Ansar,5,Simply awesome,"Certified Buyer, Panipat",Tanveer Ansar,0,0,Very good product
2716,Nagaraj B,5,Perfect product!,"Certified Buyer, Madurai",Nagaraj B,0,0,Good
2717,Manik Giri,5,Excellent,"Certified Buyer, Surendranagar",Manik Giri,0,0,This is fabulous Amazing experience with iPhone 14Exchange experience was very goodOverall 9 out of 10
2718,Pradhyumn  Rajput,4,Really Nice,"Certified Buyer, Pune",Pradhyumn  Rajput,0,0,Good
2719,Yash Pal,5,Simply awesome,"Certified Buyer, Gorakhpur",Yash Pal,0,0,Best phone
2720,Rajumoni  Rabha,4,Nice product,"Certified Buyer, West Karbi Anglong District",Rajumoni  Rabha,0,0,Outstanding
2721,Mahendra Thaluru,5,Super!,"Certified Buyer, Ysr District",Mahendra Thaluru,0,0,Fantastic. In Diwali sale I bought this mobile.👌👌👌
2722,Sarfaraz  Nawaz,5,Best in the market!,"Certified Buyer, Bhilai",Sarfaraz  Nawaz,0,0,Nice product
2723,Adv. Aakash Chauhan,5,Perfect product!,"Certified Buyer, Noida",Adv. Aakash Chauhan,0,0,No word and no doubt for iPhone .It's my first iphone in my life and I am much happy to order it from flipkart at a best price.
2724,Jagmeet Singh,5,Worth every penny,"Certified Buyer, West Delhi",Jagmeet Singh,0,0,Too good experience with Flipkart to deal this awesome iPhone 14.
2725,Flipkart Customer,4,Good choice,"Certified Buyer, Kokrajhar District",Flipkart Customer,0,0,God Level Phone
2726,Arvind Chandenia,3,Fair,"Certified Buyer, Jaipur",Arvind Chandenia,0,0,Some time calling problem like voice is not clear and listen
2727,Jyotipragnya  Bhoi,5,Simply awesome,"Certified Buyer, Bhubaneswar",Jyotipragnya  Bhoi,0,0,Awesome
2728,Shashank Gaurav,5,Wonderful,"Certified Buyer, Lucknow",Shashank Gaurav,0,0,Nice product with sharp view experience. Apple should try for curved screen as well. Overall good!
2729,Mo ali Gouri,5,Excellent,"Certified Buyer, Jodhpur",Mo ali Gouri,0,0,Good
2730,Satyam Maddeshiya,5,Mind-blowing purchase,"Certified Buyer, Kushinagar District",Satyam Maddeshiya,0,0,Impressive 👍
2731,Mintu Varma,5,Great product,"Certified Buyer, Hyderabad",Mintu Varma,0,0,Good I like it
2732,Reyaz  Ahmad ,5,Brilliant,"Certified Buyer, Samastipur District",Reyaz  Ahmad ,0,0,Just Looking like a wow
2733,Amit Kumar,5,Fabulous!,"Certified Buyer, Gaya District",Amit Kumar,0,0,Better than I phone 13
2734,Vishal Singh,5,Simply awesome,"Certified Buyer, Bengaluru",Vishal Singh,0,0,"Iphone is IPHONE man! Can't criticise anything in this model. Thinking of it from a battery perspective, this has even beaten my Samsung Galaxy M51 which has a 7000-mah battery by 2x times, Not kidding! 😀 This is how good Apple is at in-depth engineering. The camera is ooohhhh!!! ❤️ It's not a phone camera, A legit DSLR camera. The speakers on this phone are much improved from iPhone 13, Sounds like a bloody BASS Bluetooth speaker. The CLARITY is NEXT level. Gaming is outstanding!!! PUBG, CO..."
2735,Pandey Pushpak Sahay,5,Must buy!,"Certified Buyer, Bengaluru",Pandey Pushpak Sahay,0,0,Nice phone
2736,Harsh Raj,5,Just wow!,"Certified Buyer, Biharsharif",Harsh Raj,0,0,"So elegant, so beautiful, just looking like  a Woww.."
2737,Ehtesham Shams,1,Not recommended at all,"Certified Buyer, Ranchi",Ehtesham Shams,0,0,Its not satisfied
2738,mareboyina balakrishna,5,Brilliant,"Certified Buyer, Ongole",mareboyina balakrishna,0,0,Good
2739,Anuj  Kumar ,5,Mind-blowing purchase,"Certified Buyer, Bulandshahr",Anuj  Kumar ,0,0,Excellent
2740,Alex Jerang,5,Horrible,"Certified Buyer, Pasighat",Alex Jerang,0,0,It got heated so fast
2741,AMIT KUMAR TIWARI ,4,Pretty good,"Certified Buyer, Mangalya",AMIT KUMAR TIWARI ,0,0,Like
